Attribute_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,Mandatory,DataType_Kind,Value_Type,Formula,ScopeEntityID,Num_ScopeEntityID,Domain_ID,Num_Domain_ID,Logical_Type_ID,Num_Logical_Type_ID,Distinct_Type_ID,Num_Distinct_Type_ID,Structured_Type_ID,Num_Structured_Type_ID,Collection_Type_ID,Num_Collection_Type_ID,Check_Constraint_Name,Default_Value,Use_Domain_Constraint,Domain_Name,Logical_Type_Name,Structured_Type_Name,Distinct_Type_Name,Collection_Type_Name,Synonyms,Preferred_Abbreviation,Relation_ID,Num_Relation_ID,Entity_Name,PK_Flag,FK_Flag,Relation_Name,Sequence,T_Size,T_Precision,T_Scale,Data_Source
"Address",D588D354-4888-48D1-50AE-7899600A5A4C,77,,219A0D11-8E79-ACE2-687C-085428ABC9E1,73,N,Logical Type,,,,,DOM3000004,1,LOGDT025,12,,,,,,,,,N,,CHAR,,,,,,,,"Hotel",,,,3,256 CHAR,,,,
"Amount",BCAEC354-4CA9-43A6-2180-F7072D3ED809,78,,65C2C913-DD41-C515-D8F6-F39E678425E8,74,N,Logical Type,,,,,DOM3000004,1,LOGDT043,31,,,,,,,,,N,,MONEY,,,,,,,,"Payment",,,,3,,6,2,,
"Client ID",303A275B-F532-1C4F-FA63-849FAB3DA48F,79,,DC431DDC-427A-715B-E552-674EA6309A2F,71,Y,Logical Type,,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,,,CFC92924-73A4-371D-6C3E-9C6CBD9796BF,115,"Booking",,F,"Booking Client FK",8,,,,,
"Cost",19DB2FB2-779C-F808-12DF-83842F01BCD6,80,,824282A2-8F21-54B3-C2A4-86A183ED2C81,75,N,Logical Type,,,,,DOM3000004,1,LOGDT043,31,,,,,,,,,N,,MONEY,,,,,,,,"Tour",,,,4,,6,2,,
"Cost",3AD4D599-AA8C-7BA5-72CF-1CF62059C6D5,81,,219A0D11-8E79-ACE2-687C-085428ABC9E1,73,N,Logical Type,,,,,DOM3000004,1,LOGDT043,31,,,,,,,,,N,,MONEY,,,,,,,,"Hotel",,,,4,,6,2,,
"Date",7B8D9921-4D5D-6908-1695-A3BD99ADE4B9,82,,65C2C913-DD41-C515-D8F6-F39E678425E8,74,N,Logical Type,,,,,DOM3000004,1,LOGDT008,16,,,,,,,,,N,,Datetime,,,,,,,,"Payment",,,,2,,,,,
"Days",CCB1F243-60B9-35AD-3B2E-65FDADB8C843,83,,824282A2-8F21-54B3-C2A4-86A183ED2C81,75,N,Logical Type,,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,,,,,"Tour",,,,5,,,,,
"Discount",324DE95B-49FD-DB73-A457-287EB1435F90,84,,65C2C913-DD41-C515-D8F6-F39E678425E8,74,N,Logical Type,,,,,DOM3000004,1,LOGDT043,31,,,,,,,,,N,,MONEY,,,,,,,,"Payment",,,,4,,6,2,,
"EndDate",2DCD3528-AD6C-3286-A40C-7065112D6EC0,85,,DC431DDC-427A-715B-E552-674EA6309A2F,71,N,Logical Type,,,,,DOM3000004,1,LOGDT007,15,,,,,,,,,N,,Date,,,,,,,,"Booking",,,,3,,,,,
"EndDate",4A27EE21-0816-A1D7-AD10-B73E4583EDF2,86,,D52C8D80-3E37-2C40-8A74-473D9F1C1DD8,76,N,Logical Type,,,,,DOM3000004,1,LOGDT007,15,,,,,,,,,N,,Date,,,,,,,,"Voucher",,,,3,,,,,
"FirstName",1D8C65C6-70E9-1F22-874B-47FA666E118D,87,,6C633701-AD7C-5C4E-FA05-3869944E9831,72,N,Logical Type,,,,,DOM3000004,1,LOGDT025,12,,,,,,,,,N,,CHAR,,,,,,,,"Client",,,,2,100 CHAR,,,,
"Hotel ID",CE44D92F-CBBF-7D76-4DC5-932AE3315D93,88,,DC431DDC-427A-715B-E552-674EA6309A2F,71,Y,Logical Type,,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,,,36E5001C-3601-30F2-8432-3258249B9BE6,116,"Booking",,F,"Booking Hotel FK",6,,,,,
"ID",98844C3B-C8D3-3895-D46F-FFE29F4E6C4D,89,,824282A2-8F21-54B3-C2A4-86A183ED2C81,75,Y,Logical Type,,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,,,,,"Tour",P,,,1,,,,,
"ID",337FB160-178A-3B31-B239-D1C41EEEB7E5,90,,DC431DDC-427A-715B-E552-674EA6309A2F,71,Y,Logical Type,,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,,,,,"Booking",P,,,1,,,,,
"ID",C74C1C7D-A9AF-6D2A-0333-ED56260D7FBD,91,,219A0D11-8E79-ACE2-687C-085428ABC9E1,73,Y,Logical Type,,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,,,,,"Hotel",P,,,1,,,,,
"ID",FA431789-8119-5BCB-0182-D3BF01026D00,92,,D52C8D80-3E37-2C40-8A74-473D9F1C1DD8,76,Y,Logical Type,,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,,,,,"Voucher",P,,,1,,,,,
"ID",B2445909-0131-A0A4-5BA9-DBB31140C1AC,93,,6C633701-AD7C-5C4E-FA05-3869944E9831,72,Y,Logical Type,,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,,,,,"Client",P,,,1,,,,,
"ID",E06B3214-C12B-5CEC-4ED8-ADB4CB026816,94,,65C2C913-DD41-C515-D8F6-F39E678425E8,74,Y,Logical Type,,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,,,,,"Payment",P,,,1,,,,,
"Name",46BE6871-0B51-9FE8-0849-2BD2FFD876A2,95,,824282A2-8F21-54B3-C2A4-86A183ED2C81,75,N,Logical Type,,,,,DOM3000004,1,LOGDT025,12,,,,,,,,,N,,CHAR,,,,,,,,"Tour",,,,2,256 CHAR,,,,
"Name",10C029EC-725B-03B3-76C2-0BCB1C19E5FB,96,,219A0D11-8E79-ACE2-687C-085428ABC9E1,73,N,Logical Type,,,,,DOM3000004,1,LOGDT025,12,,,,,,,,,N,,CHAR,,,,,,,,"Hotel",,,,2,256 CHAR,,,,
"PhoneNumber",40467317-4B4F-53AE-F6D8-252D557607AE,97,,6C633701-AD7C-5C4E-FA05-3869944E9831,72,N,Logical Type,,,,,DOM3000004,1,LOGDT025,12,,,,,,,,,N,,CHAR,,,,,,,,"Client",,,,5,20 CHAR,,,,
"SecondName",A5CC0CF2-E057-4462-63B1-9D27283D6154,98,,6C633701-AD7C-5C4E-FA05-3869944E9831,72,N,Logical Type,,,,,DOM3000004,1,LOGDT025,12,,,,,,,,,N,,CHAR,,,,,,,,"Client",,,,3,100 CHAR,,,,
"StartDate",E3171E06-B134-3158-FC8D-E628FA48AC1C,99,,DC431DDC-427A-715B-E552-674EA6309A2F,71,N,Logical Type,,,,,DOM3000004,1,LOGDT007,15,,,,,,,,,N,,Date,,,,,,,,"Booking",,,,2,,,,,
"StartDate",53EEBF1A-49FC-1707-968B-2FF7261338B4,100,,D52C8D80-3E37-2C40-8A74-473D9F1C1DD8,76,N,Logical Type,,,,,DOM3000004,1,LOGDT007,15,,,,,,,,,N,,Date,,,,,,,,"Voucher",,,,2,,,,,
"Status",4C405089-0750-00AB-4580-5ECCB0733161,101,,DC431DDC-427A-715B-E552-674EA6309A2F,71,N,Logical Type,,,,,DOM3000004,1,LOGDT025,12,,,,,,,,,N,,CHAR,,,,,,,,"Booking",,,,4,20 CHAR,,,,
"Status",39C71C9A-84C7-BEB2-87D2-EEF11FD5DCD0,102,,D52C8D80-3E37-2C40-8A74-473D9F1C1DD8,76,N,Logical Type,,,,,DOM3000004,1,LOGDT025,12,,,,,,,,,N,,CHAR,,,,,,,,"Voucher",,,,4,20 CHAR,,,,
"ThirdName",292EA8A3-B828-AA96-326F-BE36D078F9FD,103,,6C633701-AD7C-5C4E-FA05-3869944E9831,72,N,Logical Type,,,,,DOM3000004,1,LOGDT025,12,,,,,,,,,N,,CHAR,,,,,,,,"Client",,,,4,100 CHAR,,,,
"Tour ID",6A21FD60-DF8D-4C01-EFA2-31ABE77304DF,104,,DC431DDC-427A-715B-E552-674EA6309A2F,71,Y,Logical Type,,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,,,3AF66701-635A-04A4-16A6-63C907BF4276,117,"Booking",,F,"Booking Tour FK",5,,,,,
"Type",20084ADA-2FAA-8D2F-48FC-145D3080EC7E,105,,824282A2-8F21-54B3-C2A4-86A183ED2C81,75,N,Logical Type,,,,,DOM3000004,1,LOGDT025,12,,,,,,,,,N,,CHAR,,,,,,,,"Tour",,,,3,256 CHAR,,,,
"Voucher ID",6FC68C2F-7736-1CD1-435E-4EDC29AA30A7,106,,DC431DDC-427A-715B-E552-674EA6309A2F,71,Y,Logical Type,,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,,,513B88B6-D7F0-1FD7-8E6E-B4AFD56003FF,118,"Booking",,F,"Booking Voucher FK",7,,,,,
"Voucher ID",26590A04-0F00-3D79-3EC1-3C32949A19DB,107,,6C633701-AD7C-5C4E-FA05-3869944E9831,72,Y,Logical Type,,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,,,C8364D98-BD7A-9B4F-F8EB-C0601C31B134,119,"Client",,F,"Client Voucher FK",6,,,,,
"Voucher ID",A97F012A-81E2-1209-09A5-CABF41398FD9,108,,65C2C913-DD41-C515-D8F6-F39E678425E8,74,Y,Logical Type,,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,,,78715BFC-3137-EDEA-BDD1-37C14B475AFB,120,"Payment",,F,"Payment Voucher FK",5,,,,,
