Column_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,Mandatory,DataType_Kind,Value_Type,Computed,Formula,ScopeEntityID,Num_ScopeEntityID,Domain_ID,Num_Domain_ID,Logical_Type_ID,Num_Logical_Type_ID,Distinct_Type_ID,Num_Distinct_Type_ID,Structured_Type_ID,Num_Structured_Type_ID,Collection_Type_ID,Num_Collection_Type_ID,Check_Constraint_Name,Default_Value,Use_Domain_Constraint,Domain_Name,Logical_Type_Name,Structured_Type_Name,Distinct_Type_Name,Collection_Type_Name,Uses_Default,Engineer,Table_Name,PK_Flag,FK_Flag,Native_Type,Sequence,ModelID,Num_ModelID,Model_Name,T_Size,T_Precision,T_Scale
"Address",B4D94D56-A4E1-3AF2-83DA-1E889AA09BEE,128,,0E798F0F-ECF2-006C-9870-F4ABB897863C,124,N,Logical Type,,N,,,,DOM3000004,1,LOGDT025,12,,,,,,,,,N,,CHAR,,,,N,Y,"Hotel",,,CHAR,3,78E99769-ED20-D511-12E9-1279F51EAC30,121,"Relational_1",256 CHAR,,,
"Amount",43DB4725-0335-AF30-D759-9E9E20BD237E,129,,667A6D33-FF38-F4CE-3022-DB1084BD3A74,125,N,Logical Type,,N,,,,DOM3000004,1,LOGDT043,31,,,,,,,,,N,,MONEY,,,,N,Y,"Payment",,,NUMBER,3,78E99769-ED20-D511-12E9-1279F51EAC30,121,"Relational_1",,6,2,
"Client_ID",6773E5B3-F9DE-8E23-671B-8D86D9B9F8DA,130,,6367AAAD-DEDE-4C58-8415-01A92DB955FF,122,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,N,Y,"Booking",,F,INTEGER,8,78E99769-ED20-D511-12E9-1279F51EAC30,121,"Relational_1",,,,
"Cost",29AAFCA5-6EC4-8242-4EAD-8682B392465B,131,,0E798F0F-ECF2-006C-9870-F4ABB897863C,124,N,Logical Type,,N,,,,DOM3000004,1,LOGDT043,31,,,,,,,,,N,,MONEY,,,,N,Y,"Hotel",,,NUMBER,4,78E99769-ED20-D511-12E9-1279F51EAC30,121,"Relational_1",,6,2,
"Cost",7E1E9DC2-B7F6-DFAF-CFBE-4E0C9DA9D3E0,132,,56AA20A3-1F78-58F3-42C0-8F8A8A1C63A9,126,N,Logical Type,,N,,,,DOM3000004,1,LOGDT043,31,,,,,,,,,N,,MONEY,,,,N,Y,"Tour",,,NUMBER,4,78E99769-ED20-D511-12E9-1279F51EAC30,121,"Relational_1",,6,2,
"Date",092C7EDB-9A82-76D1-2153-9CF791472A5B,133,,667A6D33-FF38-F4CE-3022-DB1084BD3A74,125,N,Logical Type,,N,,,,DOM3000004,1,LOGDT008,16,,,,,,,,,N,,Datetime,,,,N,Y,"Payment",,,DATE,2,78E99769-ED20-D511-12E9-1279F51EAC30,121,"Relational_1",,,,
"Days",508D5CDD-FDFF-1F0F-C204-7F33A11FF22A,134,,56AA20A3-1F78-58F3-42C0-8F8A8A1C63A9,126,N,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,N,Y,"Tour",,,INTEGER,5,78E99769-ED20-D511-12E9-1279F51EAC30,121,"Relational_1",,,,
"Discount",9D51A392-C121-E658-4795-DC0B64944484,135,,667A6D33-FF38-F4CE-3022-DB1084BD3A74,125,N,Logical Type,,N,,,,DOM3000004,1,LOGDT043,31,,,,,,,,,N,,MONEY,,,,N,Y,"Payment",,,NUMBER,4,78E99769-ED20-D511-12E9-1279F51EAC30,121,"Relational_1",,6,2,
"EndDate",715B23AD-F381-85E5-CF9B-1E04D6D0E538,136,,6367AAAD-DEDE-4C58-8415-01A92DB955FF,122,N,Logical Type,,N,,,,DOM3000004,1,LOGDT007,15,,,,,,,,,N,,Date,,,,N,Y,"Booking",,,DATE,3,78E99769-ED20-D511-12E9-1279F51EAC30,121,"Relational_1",,,,
"EndDate",BBB93C8B-5359-2773-BFD4-033D07CEE1E5,137,,3EE21394-A563-9820-AC92-1F6A51299276,127,N,Logical Type,,N,,,,DOM3000004,1,LOGDT007,15,,,,,,,,,N,,Date,,,,N,Y,"Voucher",,,DATE,3,78E99769-ED20-D511-12E9-1279F51EAC30,121,"Relational_1",,,,
"FirstName",8E8D760C-635E-A4D7-4A0A-C8F819E22921,138,,162EC5F4-36CF-7449-DCC8-057762AFF68D,123,N,Logical Type,,N,,,,DOM3000004,1,LOGDT025,12,,,,,,,,,N,,CHAR,,,,N,Y,"Client",,,CHAR,2,78E99769-ED20-D511-12E9-1279F51EAC30,121,"Relational_1",100 CHAR,,,
"Hotel_ID",65FF464E-8E9D-1E66-092D-F5341963E714,139,,6367AAAD-DEDE-4C58-8415-01A92DB955FF,122,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,N,Y,"Booking",,F,INTEGER,6,78E99769-ED20-D511-12E9-1279F51EAC30,121,"Relational_1",,,,
"ID",59C04A95-D33A-3707-758F-C34E25EBD385,140,,6367AAAD-DEDE-4C58-8415-01A92DB955FF,122,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,N,Y,"Booking",P,,INTEGER,1,78E99769-ED20-D511-12E9-1279F51EAC30,121,"Relational_1",,,,
"ID",1A720B15-941D-E1B1-6DDA-1DEC3271C1F9,141,,162EC5F4-36CF-7449-DCC8-057762AFF68D,123,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,N,Y,"Client",P,,INTEGER,1,78E99769-ED20-D511-12E9-1279F51EAC30,121,"Relational_1",,,,
"ID",1BCFAB60-4B34-4935-4049-E19B99C89136,142,,0E798F0F-ECF2-006C-9870-F4ABB897863C,124,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,N,Y,"Hotel",P,,INTEGER,1,78E99769-ED20-D511-12E9-1279F51EAC30,121,"Relational_1",,,,
"ID",6AC3F679-C51E-8C7E-FA1F-03FECE00BAB4,143,,667A6D33-FF38-F4CE-3022-DB1084BD3A74,125,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,N,Y,"Payment",P,,INTEGER,1,78E99769-ED20-D511-12E9-1279F51EAC30,121,"Relational_1",,,,
"ID",71E4DD80-C667-3460-7591-D44310590874,144,,56AA20A3-1F78-58F3-42C0-8F8A8A1C63A9,126,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,N,Y,"Tour",P,,INTEGER,1,78E99769-ED20-D511-12E9-1279F51EAC30,121,"Relational_1",,,,
"ID",4DAAD8A7-C237-99EF-E23F-F24C114C5ADB,145,,3EE21394-A563-9820-AC92-1F6A51299276,127,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT011,28,,,,,,,,,N,,Integer,,,,N,Y,"Voucher",P,,INTEGER,1,78E99769-ED20-D511-12E9-1279F51EAC30,121,"Relational_1",,,,
"Name",50F06B83-9024-066A-4736-9F3AA70AB33E,146,,0E798F0F-ECF2-006C-9870-F4ABB897863C,124,N,Logical Type,,N,,,,DOM3000004,1,LOGDT025,12,,,,,,,,,N,,CHAR,,,,N,Y,"Hotel",,,CHAR,2,78E99769-ED20-D511-12E9-1279F51EAC30,121,"Relational_1",256 CHAR,,,
"Name",BA4B788E-64AB-6AF9-4631-E8644A5F0EAD,147,,56AA20A3-1F78-58F3-42C0-8F8A8A1C63A9,126,N,Logical Type,,N,,,,DOM3000004,1,LOGDT025,12,,,,,,,,,N,,CHAR,,,,N,Y,"Tour",,,CHAR,2,78E99769-ED20-D511-12E9-1279F51EAC30,121,"Relational_1",256 CHAR,,,
"PhoneNumber",9BC45B99-0BB3-5087-0292-5B52ABE83258,148,,162EC5F4-36CF-7449-DCC8-057762AFF68D,123,N,Logical Type,,N,,,,DOM3000004,1,LOGDT025,12,,,,,,,,,N,,CHAR,,,,N,Y,"Client",,,CHAR,5,78E99769-ED20-D511-12E9-1279F51EAC30,121,"Relational_1",20 CHAR,,,
"SecondName",D5347284-08D3-E3A6-48B0-3D728EC7CD2B,149,,162EC5F4-36CF-7449-DCC8-057762AFF68D,123,N,Logical Type,,N,,,,DOM3000004,1,LOGDT025,12,,,,,,,,,N,,CHAR,,,,N,Y,"Client",,,CHAR,3,78E99769-ED20-D511-12E9-1279F51EAC30,121,"Relational_1",100 CHAR,,,
"StartDate",74ED4954-8AFE-2583-EDFF-B42B1B347221,150,,6367AAAD-DEDE-4C58-8415-01A92DB955FF,122,N,Logical Type,,N,,,,DOM3000004,1,LOGDT007,15,,,,,,,,,N,,Date,,,,N,Y,"Booking",,,DATE,2,78E99769-ED20-D511-12E9-1279F51EAC30,121,"Relational_1",,,,
"StartDate",D2826356-FDA7-EDD4-4296-152C8205D681,151,,3EE21394-A563-9820-AC92-1F6A51299276,127,N,Logical Type,,N,,,,DOM3000004,1,LOGDT007,15,,,,,,,,,N,,Date,,,,N,Y,"Voucher",,,DATE,2,78E99769-ED20-D511-12E9-1279F51EAC30,121,"Relational_1",,,,
"Status",2AB96B17-A8F4-B220-F920-91F67E255C4C,152,,6367AAAD-DEDE-4C58-8415-01A92DB955FF,122,N,Logical Type,,N,,,,DOM3000004,1,LOGDT025,12,,,,,,,,,N,,CHAR,,,,N,Y,"Booking",,,CHAR,4,78E99769-ED20-D511-12E9-1279F51EAC30,121,"Relational_1",20 CHAR,,,
"Status",B5009B97-3D0A-99F4-3BAB-716653954714,153,,3EE21394-A563-9820-AC92-1F6A51299276,127,N,Logical Type,,N,,,,DOM3000004,1,LOGDT025,12,,,,,,,,,N,,CHAR,,,,N,Y,"Voucher",,,CHAR,4,78E99769-ED20-D511-12E9-1279F51EAC30,121,"Relational_1",20 CHAR,,,
